type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,16.235,18.350,3.025,5.490,0.400,1.150,-47.31477355957031,-28.531,-33.931,-62.462
exploit,16.135,18.350,3.137,5.457,0.400,1.150,-58.300636291503906,-27.618,-35.222,-62.84
exploit,10.835,18.350,-2.550,10.871,0.400,1.150,-72.83921813964844,-26.508,-48.309,-74.817
explore,17.535,18.850,4.381,4.455,0.550,0.450,-1033.5921630859375,-1015.28,-1015.28,-2030.55
exploit,16.235,18.350,3.077,5.468,0.400,1.150,-49.345054626464844,-27.045,-35.443,-62.488
exploit,10.885,18.350,-2.465,10.871,0.400,1.150,-74.66017150878906,-25.781,-47.781,-73.562
exploit,16.235,18.350,2.993,5.498,0.400,1.150,-49.03998565673828,-27.474,-33.583,-61.057
exploit,16.285,18.350,3.035,5.597,0.400,1.150,-52.66716003417969,-29.877,-34.777,-64.654
explore,12.935,17.600,-0.541,9.023,1.150,0.400,-799.243408203125,-26.42,-41.52,-67.94
exploit,10.535,18.350,-2.611,11.079,0.400,1.150,-71.92666625976562,-27.38,-49.087,-76.467
explore,16.185,17.950,3.004,5.571,0.800,0.750,-1087.1715087890625,-32.828,-35.53,-68.358
explore,11.085,18.000,-2.360,10.678,0.750,0.800,-635.482666015625,-1023.64,-1023.64,-2047.28
explore,9.685,18.150,-3.757,12.088,0.721,0.950,-1227.3834228515625,-1020.88,-1020.88,-2041.77
explore,20.085,17.600,6.896,1.626,1.150,0.400,-662.893798828125,-1010.03,-1010.03,-2020.06
exploit,10.685,18.350,-2.558,11.009,0.400,1.150,-60.916038513183594,-28.698,-49.196,-77.894
exploit,16.285,18.350,3.119,5.518,0.400,1.150,-34.464813232421875,-29.077,-38.079,-67.156
exploit,16.535,18.350,3.176,5.460,0.400,1.150,-58.383026123046875,-27.441,-32.541,-59.982
exploit,16.135,18.350,3.151,5.508,0.400,1.150,-41.69166564941406,-29.104,-34.505,-63.609
exploit,10.485,18.350,-2.672,11.180,0.400,1.150,-48.012054443359375,-27.395,-48.097,-75.492
exploit,10.385,18.350,-2.728,11.246,0.400,1.150,-60.292869567871094,-28.529,-50.815,-79.344
explore,17.985,18.250,4.773,3.689,0.522,1.050,-1377.121337890625,-1011.51,-1011.51,-2023.02
explore,15.935,17.800,2.625,5.757,0.950,0.600,-1452.1712646484375,-1010.06,-1010.06,-2020.12
exploit,16.585,18.300,3.083,5.544,0.450,1.100,-106.62982177734375,-1012.94,-1012.94,-2025.87
exploit,16.435,18.350,3.023,5.399,0.400,1.150,-49.3892822265625,-1012.43,-1012.43,-2024.86
explore,10.135,18.100,-3.078,11.615,0.696,0.900,-723.7034912109375,-27.458,-46.956,-74.414
exploit,12.535,18.350,-0.858,9.190,0.400,1.150,-84.94284057617188,-25.273,-42.773,-68.046
exploit,10.735,18.350,-2.702,11.138,0.400,1.150,-31.00958251953125,-27.226,-49.429,-76.655
explore,10.235,17.900,-2.845,11.389,0.863,0.700,-381.25946044921875,-1021.03,-1021.03,-2042.06
exploit,10.485,18.350,-2.724,11.224,0.400,1.150,-21.416595458984375,-26.09,-48.691,-74.781
exploit,10.485,18.350,-2.826,11.322,0.400,1.150,-78.41384887695312,-28.693,-47.498,-76.191
explore,17.435,17.900,4.267,4.341,0.939,0.700,-980.6031494140625,-26.76,-39.058,-65.818
exploit,10.385,18.350,-2.740,11.308,0.400,1.150,-72.82763671875,-27.309,-46.809,-74.118
explore,17.835,17.650,4.537,3.899,1.140,0.450,-806.4998779296875,-1010.37,-1010.37,-2020.73
exploit,14.435,18.350,1.255,7.360,0.400,1.150,-78.66177368164062,-25.156,-37.465,-62.621
explore,17.635,17.900,4.345,3.627,0.986,0.700,-868.4532470703125,-1010.15,-1010.15,-2020.3
exploit,10.835,18.350,-2.608,11.101,0.400,1.150,-61.66754150390625,-27.598,-46.197,-73.795
exploit,12.635,18.350,-0.821,9.119,0.400,1.150,-76.14602661132812,-1012.7,-1012.7,-2025.4
exploit,10.635,18.350,-2.600,11.124,0.400,1.150,-59.89276123046875,-25.465,-45.966,-71.431
explore,18.085,17.600,4.710,3.471,1.151,0.400,-1103.173095703125,-1009.64,-1009.64,-2019.27
exploit,10.635,18.350,-2.721,11.163,0.400,1.150,-70.94830322265625,-27.337,-48.638,-75.975
exploit,17.535,17.600,3.950,4.440,1.254,0.400,-58.30946350097656,-27.926,-28.618,-56.544
explore,12.785,17.650,-0.583,8.938,1.100,0.450,-552.0646362304688,-25.922,-42.222,-68.144
exploit,10.585,18.350,-2.696,11.114,0.400,1.150,-70.18475341796875,-24.995,-46.607,-71.602
exploit,10.435,18.350,-2.866,11.293,0.400,1.150,-80.65579223632812,-26.81,-47.214,-74.024
explore,17.535,17.650,4.358,4.239,1.208,0.450,-673.1206665039062,-1009.54,-1009.54,-2019.08
exploit,10.635,18.350,-2.617,11.086,0.400,1.150,-64.71774291992188,-25.687,-49.681,-75.368
explore,13.635,18.300,0.712,8.003,0.450,1.100,-1013.9331665039062,-1013.23,-1013.23,-2026.46
explore,12.585,18.250,-0.652,9.105,0.500,1.050,-614.2894897460938,-24.966,-38.774,-63.74
exploit,10.485,18.350,-2.778,11.198,0.400,1.150,-75.08181762695312,-26.716,-48.824,-75.54
explore,14.335,18.150,0.934,7.451,0.600,0.950,-873.1029663085938,-1012.77,-1012.77,-2025.53
explore,19.235,18.050,5.879,2.697,0.743,0.850,-392.8179016113281,-1016.95,-1016.95,-2033.91
explore,14.435,18.050,1.297,7.250,0.700,0.850,-1231.1717529296875,-1017.88,-1017.88,-2035.75
exploit,14.435,18.350,1.506,7.208,0.400,1.150,-58.233062744140625,-24.945,-37.339,-62.284
explore,16.785,17.700,3.323,4.782,1.050,0.500,-728.4036865234375,-1010.68,-1010.68,-2021.36
explore,12.835,17.750,-0.388,8.844,1.000,0.550,-606.6993408203125,-24.839,-42.746,-67.585
exploit,10.685,18.350,-2.861,11.332,0.400,1.150,-80.9566650390625,-26.797,-48.309,-75.106
explore,16.385,18.050,3.102,5.445,0.700,0.850,-798.2178955078125,-136.117,-36.818,-172.935
explore,15.235,18.200,2.312,6.120,0.550,1.000,-1366.4716796875,-26.393,-38.403,-64.796
explore,15.685,17.700,2.399,6.042,1.050,0.500,-1833.6552734375,-1012.66,-1012.66,-2025.33
explore,18.535,17.850,5.220,3.147,0.912,0.650,-510.91180419921875,-46.864,-53.072,-99.936
exploit,10.485,18.350,-2.952,11.362,0.400,1.150,-81.36404418945312,-26.964,-45.761,-72.725
exploit,10.635,18.350,-2.649,11.088,0.400,1.150,-67.721435546875,-28.47,-48.872,-77.342
explore,17.185,17.950,4.104,4.447,0.814,0.750,-650.5250854492188,-1015.24,-1015.24,-2030.47
explore,10.535,18.350,-2.948,11.404,0.400,1.150,-81.41085815429688,-28.218,-48.421,-76.639
explore,17.935,18.400,4.675,3.800,0.403,0.939,-1567.16259765625,-25.338,-30.537,-55.875
explore,16.035,17.800,2.832,5.620,0.950,0.600,-1224.484130859375,-1010.36,-1010.36,-2020.71
exploit,10.585,18.350,-2.824,11.212,0.400,1.150,-75.9932861328125,-25.766,-47.364,-73.13
exploit,10.335,18.350,-2.880,11.353,0.403,1.150,-81.89846801757812,-28.879,-50.48,-79.359
explore,17.335,18.400,4.116,4.375,0.461,0.850,-935.76611328125,-1011.24,-1011.24,-2022.47
explore,13.785,17.950,0.469,8.031,0.800,0.750,-1942.323486328125,-1013.5,-1013.5,-2027
explore,9.085,17.700,-3.966,12.506,1.050,0.500,-1315.7869873046875,-1022.43,-1022.43,-2044.86
exploit,10.535,18.350,-2.786,11.189,0.400,1.150,-74.1741943359375,-26.941,-45.442,-72.383
exploit,10.685,18.350,-2.517,11.070,0.400,1.150,-56.92559814453125,-27.992,-46.89,-74.882
explore,14.535,18.350,1.325,7.203,0.400,1.150,-127.50698852539062,-25.194,-35.896,-61.09
exploit,10.585,18.350,-2.711,11.205,0.400,1.150,-69.98455810546875,-25.873,-47.274,-73.147
explore,14.785,17.700,1.601,6.937,1.050,0.500,-1206.3330078125,-1011.48,-1011.48,-2022.96
exploit,10.385,18.350,-2.883,11.454,0.400,1.150,-81.0679931640625,-25.67,-46.869,-72.539
explore,21.185,17.650,7.881,0.589,1.100,0.450,-992.4508056640625,-26.435,-31.43,-57.865
explore,20.335,18.000,7.053,1.322,0.750,0.800,-781.319580078125,-26.222,-31.615,-57.837
exploit,10.635,18.350,-2.686,11.021,0.400,1.150,-75.2113037109375,-1019.39,-1019.39,-2038.77
explore,9.635,18.000,-3.682,12.158,0.828,0.800,-1696.1934814453125,-1020.62,-1020.62,-2041.24
explore,9.735,18.150,-3.747,12.210,0.750,0.950,-1628.0250244140625,-1022.38,-1022.38,-2044.77
exploit,10.385,18.350,-2.931,11.304,0.400,1.150,-119.05615234375,-28.866,-47.468,-76.334
explore,11.085,18.200,-2.242,10.659,0.550,1.000,-611.3594970703125,-27.703,-56.813,-84.516
exploit,10.585,18.350,-2.744,11.131,0.400,1.150,-151.8372802734375,-28.052,-45.651,-73.703
exploit,10.435,18.350,-2.885,11.307,0.400,1.150,-107.60345458984375,-27.429,-50.834,-78.263
exploit,14.535,18.350,1.428,7.239,0.400,1.150,-66.51226806640625,-26.081,-34.282,-60.363
explore,12.985,18.350,-0.480,8.813,0.400,1.150,-286.54766845703125,-25.333,-41.115,-66.448
exploit,10.335,18.350,-3.144,11.459,0.403,1.150,-76.43341064453125,-29.557,-47.155,-76.712
explore,11.985,17.650,-1.260,9.736,1.100,0.450,-1304.1151123046875,-1018.52,-1018.52,-2037.03
exploit,12.985,17.600,-0.516,8.710,1.150,0.400,-102.25115966796875,-25.219,-40.919,-66.138
exploit,10.735,18.350,-2.433,10.922,0.400,1.150,-85.13848876953125,-28.888,-51.586,-80.474
exploit,10.385,18.350,-2.913,11.467,0.400,1.150,-49.3504638671875,-25.302,-47.208,-72.51
