type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,15.671,17.835,2.499,6.041,0.915,0.635,-93.29061126708984,-1078.1,-1078.1,-2156.2
exploit,9.339,18.313,3.914,12.468,0.440,1.113,-56.20903396606445,-1021.52,-1021.52,-2043.05
explore,14.237,18.002,1.060,7.410,0.748,0.802,-74.36161041259766,-149.501,-33.102,-182.603
exploit,10.393,18.348,2.810,11.268,0.402,1.148,-53.80577850341797,-16.602,-38.703,-55.305
exploit,10.542,18.292,2.619,11.204,0.459,1.092,-57.07795333862305,-14.402,-37.309,-51.711
exploit,10.681,18.298,2.578,11.057,0.452,1.098,-56.4608154296875,-15.704,-37.207,-52.911
exploit,12.527,17.553,0.893,9.253,1.197,0.353,-53.07707214355469,-14.413,-32.303,-46.716
exploit,10.990,18.331,2.258,10.837,0.419,1.131,-54.906593322753906,-14.7,-36.448,-51.148
explore,10.116,17.939,3.065,11.589,0.855,0.739,-77.93695068359375,-14.303,-200,-214.303
explore,14.534,17.899,1.309,7.218,0.851,0.699,-79.31564331054688,-143.809,-28.703,-172.512
exploit,10.483,18.346,2.701,11.178,0.404,1.146,-51.36648941040039,-16.602,-38.204,-54.806
exploit,10.924,18.344,2.299,10.863,0.406,1.144,-52.43600082397461,-14.717,-37.73,-52.447
exploit,12.214,17.566,1.067,9.447,1.184,0.367,-55.22933578491211,-1017.62,-1017.62,-2035.24
exploit,12.307,17.572,0.997,9.418,1.179,0.372,-53.70972442626953,-20.13,-36.148,-56.278
exploit,15.258,18.306,2.106,6.466,0.444,1.107,-55.398067474365234,-1012.71,-1012.71,-2025.41
explore,11.090,17.932,2.136,10.653,0.818,0.732,-85.11457061767578,-1021.92,-1021.92,-2043.84
exploit,9.261,17.550,3.995,12.473,1.200,0.351,-53.11939239501953,-14.604,-40.701,-55.305
exploit,12.403,17.682,0.889,9.282,1.068,0.483,-60.27316665649414,-19.801,-35.21,-55.011
exploit,15.416,18.338,2.155,6.316,0.413,1.138,-55.66497802734375,-1012.01,-1012.01,-2024.02
exploit,12.456,17.612,0.857,9.243,1.138,0.412,-56.747650146484375,-18.304,-33.601,-51.905
exploit,10.715,18.329,2.500,11.037,0.421,1.129,-51.79311752319336,-14.501,-37.207,-51.708
exploit,10.806,18.318,2.393,10.939,0.432,1.119,-54.098487854003906,-15.3,-36.604,-51.904
exploit,10.543,18.317,2.659,11.119,0.433,1.117,-54.091514587402344,-14.502,-37.426,-51.928
exploit,9.223,17.569,4.021,12.493,1.181,0.369,-53.64350891113281,-1022.61,-1022.61,-2045.22
exploit,17.345,17.653,4.010,4.190,1.140,0.453,-52.154056549072266,-1014.62,-1014.62,-2029.24
exploit,9.809,18.797,3.427,11.958,0.526,0.474,-58.416934967041016,-31.702,-152.5,-184.202
exploit,15.267,18.336,2.104,6.387,0.415,1.136,-59.06955337524414,-21.003,-28.201,-49.204
exploit,12.460,17.661,0.844,9.291,1.089,0.462,-57.208736419677734,-17.803,-31.804,-49.607
exploit,12.603,17.551,0.772,9.116,1.199,0.352,-55.6458740234375,-200,-200,-400
exploit,12.422,17.713,0.826,9.275,1.037,0.514,-57.96598815917969,-1017.21,-1017.21,-2034.42
exploit,12.522,17.597,0.777,9.138,1.153,0.397,-62.30309295654297,-1014.4,-1014.4,-2028.81
exploit,10.830,18.230,2.383,10.849,0.520,1.030,-65.54754638671875,-1019.5,-1019.5,-2039.01
exploit,11.733,18.315,1.481,9.968,0.435,1.115,-63.338714599609375,-200,-200,-400
explore,14.796,17.994,1.669,6.871,0.756,0.794,-86.27006530761719,-143.002,-25.203,-168.205
exploit,10.817,18.333,2.352,10.892,0.417,1.133,-54.806007385253906,-16.201,-38.808,-55.009
exploit,13.532,18.349,0.493,8.210,0.401,1.149,-56.303382873535156,-24.104,-28.904,-53.008
explore,15.155,17.795,1.975,6.616,0.955,0.595,-88.8892822265625,-1016,-1016,-2032
exploit,16.064,18.339,2.911,5.695,0.412,1.139,-60.43403625488281,-139.401,-24.701,-164.102
explore,10.781,17.753,2.428,10.896,0.997,0.553,-89.55854797363281,-1020.5,-1020.5,-2041
exploit,13.331,18.343,0.313,8.441,0.407,1.143,-58.167274475097656,-18.202,-30.105,-48.307
exploit,10.710,18.307,2.646,10.840,0.444,1.107,-52.260292053222656,-14.514,-37.508,-52.022
explore,11.459,17.686,1.774,10.266,1.065,0.486,-72.44890594482422,-1018.1,-1018.1,-2036.2
exploit,11.060,18.337,2.194,10.727,0.413,1.138,-57.590110778808594,-15.92,-36.327,-52.247
exploit,13.283,18.327,0.286,8.473,0.423,1.127,-57.70165252685547,-1013.5,-1013.5,-2027.01
exploit,10.938,18.318,2.316,10.867,0.432,1.118,-56.94303894042969,-16.927,-40.967,-57.894
exploit,11.363,18.341,1.859,10.310,0.409,1.142,-61.49266815185547,-17.513,-41.414,-58.927
exploit,13.671,18.332,0.481,8.087,0.419,1.132,-59.81915283203125,-17.708,-29.108,-46.816
exploit,12.371,17.561,0.955,9.382,1.189,0.361,-57.68232727050781,-18,-33.509,-51.509
exploit,12.093,17.578,1.146,9.626,1.172,0.378,-63.301063537597656,-15.105,-33.608,-48.713
exploit,10.412,18.298,2.797,11.265,0.452,1.098,-58.91496658325195,-16.701,-38.616,-55.317
exploit,13.699,18.307,0.460,7.847,0.443,1.107,-54.99607467651367,-1014.4,-1014.4,-2028.81
exploit,12.413,17.586,0.889,9.326,1.164,0.386,-59.33055114746094,-15.128,-35.748,-50.876
exploit,14.083,17.575,0.923,7.686,1.175,0.375,-61.14710235595703,-1012.6,-1012.6,-2025.2
explore,14.939,17.850,1.644,6.836,0.900,0.650,-89.38026428222656,-1015.4,-1015.4,-2030.8
exploit,12.506,17.571,0.854,9.198,1.179,0.372,-63.27054977416992,-14.51,-32.416,-46.926
exploit,17.094,18.325,3.941,4.547,0.429,1.125,-62.50168228149414,-141.106,-24.8,-165.906
exploit,10.966,18.326,2.291,10.741,0.424,1.126,-57.74006271362305,-16.022,-39.823,-55.845
explore,11.746,17.622,1.513,10.011,1.128,0.422,-75.40300750732422,-1019.1,-1019.1,-2038.2
exploit,15.131,18.350,1.971,6.632,0.400,1.150,-56.38929748535156,-19.218,-26.006,-45.224
exploit,10.598,18.330,2.616,11.084,0.420,1.130,-52.717491149902344,-16.001,-37.625,-53.626
exploit,10.468,18.337,2.722,11.264,0.413,1.137,-52.79752731323242,-1019.4,-1019.4,-2038.8
explore,12.632,17.798,0.705,9.102,0.952,0.598,-78.55709075927734,-200,-200,-400
exploit,12.330,17.619,0.953,9.422,1.131,0.419,-58.176334381103516,-14.701,-33.002,-47.703
exploit,10.905,18.336,2.290,10.810,0.414,1.137,-55.262359619140625,-14.501,-37.107,-51.608
explore,15.202,17.902,1.979,6.543,0.848,0.702,-94.559814453125,-146.305,-27.907,-174.212
explore,10.372,18.203,2.868,11.249,0.547,1.003,-70.70613098144531,-16.405,-38.311,-54.716
exploit,15.157,18.346,1.955,6.651,0.405,1.146,-55.84111022949219,-17.504,-25.11,-42.614
exploit,10.763,18.283,2.468,10.913,0.468,1.083,-60.452056884765625,-14.3,-38.11,-52.41
exploit,15.017,18.333,1.882,6.699,0.417,1.133,-57.47727966308594,-21.304,-28.804,-50.108
exploit,10.489,18.299,2.741,11.255,0.451,1.099,-59.83842468261719,-14.6,-37.904,-52.504
explore,11.859,17.671,1.433,9.851,1.079,0.472,-81.6104736328125,-200,-200,-400
exploit,15.244,18.334,2.041,6.531,0.416,1.134,-55.374629974365234,-20.324,-27.42,-47.744
explore,9.730,18.136,3.417,12.006,0.758,0.936,-68.70013427734375,-1023.22,-1023.22,-2046.44
explore,13.997,17.774,0.920,7.699,0.976,0.574,-86.61942291259766,-145.402,-27.802,-173.204
